company,inn,title,description,requirements,age_days,posts_per_day,ip_blacklisted,complaints,label
ООО Тинькофф,6429618444,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1743,5,0,0,0
ООО Золотая Жила,5615626244,Срочно! Набор сотрудников,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,24,40,0,6,1
ПАО Газпром,7517773923,Технический писатель,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2831,3,0,0,0
ИП Иванов,1281237106,Заработок из дома 100000 руб/день,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,31,20,1,10,1
АО ВТБ,9122595721,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",1320,5,0,0,0
ООО 1С,2371504168,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1710,4,0,0,0
ООО Быстрые Деньги,1586950732,Подработка для всех,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Без опыта! Обучим всему за 1 день!,6,29,1,8,1
ООО Деньги Сразу,2362483550,Простая работа на дому,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Никаких навыков не требуется!,23,29,0,8,1
ИП Петров А.А.,7437490609,Работа мечты — 200000 руб/неделю,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",44,38,0,5,1
ООО Яндекс,7371539882,Product Manager,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1463,2,0,0,0
ООО МТС,4039752458,Менеджер проектов,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",2816,0,0,0,0
ООО Skillbox,3460953960,DevOps-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",947,5,0,0,0
ООО 1С,9106200341,QA-инженер,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",3252,1,0,0,0
ИП Петров А.А.,8203195419,"Требуются люди, оплата ежедневно",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,57,36,1,8,1
ООО Тинькофф,9849696539,QA-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",746,4,0,0,0
ООО Быстрые Деньги,5787688687,Работа с высокой оплатой без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",41,43,1,8,1
ПАО Газпром,8208496495,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",3566,5,0,0,0
ООО 1С,5117393480,Технический писатель,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",1006,2,0,0,0
ИП Иванов,2511455129,Срочно! Набор сотрудников,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Срочно! Наличие свободного времени.,13,47,0,5,1
ООО Skillbox,9210099680,Системный администратор,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2422,0,0,0,0
ООО КРОК,1685389098,Python-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2017,1,0,0,0
АО Альфа-Банк,6562053361,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1313,2,0,0,0
ООО Яндекс,6094801413,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",1064,4,0,0,0
ИП Сидоров,4187510974,Заработок из дома 100000 руб/день,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",38,20,0,7,1
АО ВТБ,8694591962,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",1938,1,0,0,0
ПАО Ростелеком,7498931956,DevOps-инженер,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",3193,0,0,0,0
ООО 1С,8766575465,Бизнес-аналитик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",281,1,0,0,0
ООО МТС,3256053134,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",1346,0,0,0,0
АО Альфа-Банк,2183727429,Backend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",878,0,0,0,0
ПАО Ростелеком,7727578446,Технический писатель,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1932,4,0,0,0
ООО Яндекс,2199867982,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",3423,5,0,0,0
АО Альфа-Банк,6045547813,Data Scientist,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1063,5,0,0,0
ПАО Ростелеком,7582710916,Системный администратор,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",236,2,0,0,0
ООО Рога и Копыта,5641978576,Подработка для всех,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Ответственность, желание зарабатывать, без опыта.",45,31,1,7,1
ИП Сидоров,9963406796,Подработка для всех,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Срочно! Наличие свободного времени.,6,40,1,8,1
ООО Skillbox,8828064791,DevOps-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",1727,4,0,0,0
ООО МТС,3639343624,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",1853,1,0,0,0
АО ВТБ,9698864972,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",2786,3,0,0,0
ООО Тинькофф,4899940430,Менеджер проектов,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",2300,4,0,0,0
ООО Быстрые Деньги,6786718153,Заработок из дома 100000 руб/день,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,23,19,0,9,1
АО Альфа-Банк,6716176888,QA-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",3419,0,0,0,0
ИП Петров А.А.,6372603218,Подработка для всех,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Ответственность, желание зарабатывать, без опыта.",18,33,0,7,1
ИП Иванов,8922341034,Заработок из дома 100000 руб/день,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,"Ответственность, желание зарабатывать, без опыта.",27,47,1,8,1
ПАО Газпром,2372138651,Системный администратор,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3460,4,0,0,0
ООО 1С,1801006239,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",458,5,0,0,0
АО ВТБ,7527354350,Бизнес-аналитик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",701,0,0,0,0
ООО Золотая Жила,2840908051,Набор менеджеров без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",10,10,1,2,1
ИП Петров А.А.,5281793406,Срочно! Набор сотрудников,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",54,31,1,4,1
ИП Сидоров,9688002300,Набор менеджеров без опыта,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,37,16,1,8,1
ООО 1С,4408487290,Frontend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",2188,5,0,0,0
ИП Петров А.А.,8411767412,Работа мечты — 200000 руб/неделю,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Срочно! Наличие свободного времени.,17,17,1,3,1
АО Альфа-Банк,6869380680,Product Manager,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",1894,4,0,0,0
ПАО Сбербанк,7764722987,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",523,1,0,0,0
ИП Иванов,2006876164,Набор менеджеров без опыта,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Никаких навыков не требуется!,56,44,0,10,1
АО Лаборатория Касперского,8136657221,Python-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",1403,0,0,0,0
ООО Тинькофф,9835523127,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",1228,1,0,0,0
ООО 1С,2783332119,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1961,5,0,0,0
ИП Сидоров,5164485959,Срочно! Набор сотрудников,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Ответственность, желание зарабатывать, без опыта.",41,20,0,6,1
ООО 1С,1376137914,Менеджер проектов,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",2343,0,0,0,0
ИП Сидоров,1228403595,Набор менеджеров без опыта,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Возраст от 18 лет, наличие телефона.",45,28,1,4,1
ИП Сидоров,9620448515,Работа с высокой оплатой без опыта,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.",Срочно! Наличие свободного времени.,29,46,1,3,1
АО Альфа-Банк,6208507697,Аналитик данных,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",2288,3,0,0,0
АО Альфа-Банк,7691251772,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2965,4,0,0,0
АО Альфа-Банк,1599293787,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1445,1,0,0,0
ПАО Газпром,5901495421,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",1997,3,0,0,0
АО Альфа-Банк,8744197548,Технический писатель,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1782,3,0,0,0
АО ВТБ,4433339520,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3370,0,0,0,0
ИП Сидоров,7663093299,Срочно! Набор сотрудников,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Ответственность, желание зарабатывать, без опыта.",32,15,1,8,1
ООО МТС,6289611220,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",3435,1,0,0,0
ООО Яндекс,7139060488,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",348,2,0,0,0
ООО МТС,8393852586,Product Manager,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",223,5,0,0,0
ИП Петров А.А.,4613285072,Простая работа на дому,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Никаких навыков не требуется!,22,16,1,10,1
ПАО Сбербанк,4195256908,Аналитик данных,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",1453,0,0,0,0
ПАО Ростелеком,1770461179,Системный администратор,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",880,4,0,0,0
ООО Яндекс,4917251355,Frontend-разработчик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",1488,1,0,0,0
АО Альфа-Банк,8642086567,Технический писатель,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2956,3,0,0,0
ПАО Ростелеком,2204618720,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",967,2,0,0,0
ПАО Газпром,7887258878,QA-инженер,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1219,2,0,0,0
ООО Яндекс,1489964231,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1531,1,0,0,0
ООО Деньги Сразу,6014257627,"Свободный график, оплата сразу",Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Никаких навыков не требуется!,0,19,0,4,1
ООО Деньги Сразу,3705877220,Простая работа на дому,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,4,37,1,6,1
АО ВТБ,5310690339,Backend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",455,0,0,0,0
ООО МТС,7765277584,Аналитик данных,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1272,0,0,0,0
ПАО Сбербанк,6698169349,Бизнес-аналитик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",361,5,0,0,0
ИП Петров А.А.,8397396417,Набор менеджеров без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Без опыта! Обучим всему за 1 день!,35,48,1,8,1
ООО Skillbox,9814761748,Менеджер проектов,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",788,1,0,0,0
ООО Skillbox,3151826066,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",2457,4,0,0,0
ООО Золотая Жила,9856669543,"Свободный график, оплата сразу",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Никаких навыков не требуется!,5,25,0,9,1
